year,month,source,profile,risk_mode,risk_mult,starting_equity,ending_equity,net_pnl,profit_pct,pf,win_rate,trade_count,max_dd_pct,max_daily_dd_pct,sharpe,sortino,target_5_hit,target_8_hit,target_10_hit,daily_dd_breach,total_dd_breach,verdict,computed_lot
2020,2020-01,canonical,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,1.0,10000.0,10037.14,37.14,0.37,4.2769,64.53,265,0.44,0.04,6.3707,5.7155,False,False,False,False,False,PASS_NO_TARGET,0.01
2020,2020-02,canonical,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,1.0,10037.14,10085.36,48.22,0.48,4.2769,64.53,265,0.44,0.04,6.3707,5.7155,False,False,False,False,False,PASS_NO_TARGET,0.01
2020,2020-03,canonical,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,1.0,10085.36,10138.03,52.67,0.52,4.2769,64.53,265,0.44,0.04,6.3707,5.7155,False,False,False,False,False,PASS_NO_TARGET,0.01
2020,2020-04,canonical,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,1.0,10138.03,10232.01,93.98,0.93,4.2769,64.53,265,0.44,0.04,6.3707,5.7155,False,False,False,False,False,PASS_NO_TARGET,0.01
2020,2020-05,canonical,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,1.0,10232.01,10277.71,45.7,0.45,4.2769,64.53,265,0.44,0.04,6.3707,5.7155,False,False,False,False,False,PASS_NO_TARGET,0.01
2020,2020-06,canonical,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,1.0,10277.71,10305.05,27.34,0.27,4.2769,64.53,265,0.44,0.04,6.3707,5.7155,False,False,False,False,False,PASS_NO_TARGET,0.01
2020,2020-07,canonical,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,1.0,10305.05,10453.47,148.42,1.44,4.2769,64.53,265,0.44,0.04,6.3707,5.7155,False,False,False,False,False,PASS_NO_TARGET,0.01
2020,2020-08,canonical,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,1.0,10453.47,10538.35,84.88,0.81,4.2769,64.53,265,0.44,0.04,6.3707,5.7155,False,False,False,False,False,PASS_NO_TARGET,0.01
2020,2020-09,canonical,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,1.0,10538.35,10579.39,41.04,0.39,4.2769,64.53,265,0.44,0.04,6.3707,5.7155,False,False,False,False,False,PASS_NO_TARGET,0.01
2020,2020-10,canonical,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,1.0,10579.39,10636.61,57.22,0.54,4.2769,64.53,265,0.44,0.04,6.3707,5.7155,False,False,False,False,False,PASS_NO_TARGET,0.01
2020,2020-11,canonical,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,1.0,10636.61,10712.8,76.19,0.72,4.2769,64.53,265,0.44,0.04,6.3707,5.7155,False,False,False,False,False,PASS_NO_TARGET,0.01
2020,2020-12,canonical,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,1.0,10712.8,10745.28,32.48,0.3,4.2769,64.53,265,0.44,0.04,6.3707,5.7155,False,False,False,False,False,PASS_NO_TARGET,0.01
2021,2021-01,canonical,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,1.0,10745.28,10829.93,84.65,0.79,4.1964,63.6,261,0.18,0.02,5.2722,7.8257,False,False,False,False,False,PASS_NO_TARGET,0.01
2021,2021-02,canonical,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,1.0,10829.93,10917.2,87.27,0.81,4.1964,63.6,261,0.18,0.02,5.2722,7.8257,False,False,False,False,False,PASS_NO_TARGET,0.01
2021,2021-03,canonical,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,1.0,10917.2,10936.21,19.01,0.17,4.1964,63.6,261,0.18,0.02,5.2722,7.8257,False,False,False,False,False,PASS_NO_TARGET,0.01
2021,2021-04,canonical,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,1.0,10936.21,10991.15,54.94,0.5,4.1964,63.6,261,0.18,0.02,5.2722,7.8257,False,False,False,False,False,PASS_NO_TARGET,0.01
2021,2021-05,canonical,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,1.0,10991.15,11041.28,50.13,0.46,4.1964,63.6,261,0.18,0.02,5.2722,7.8257,False,False,False,False,False,PASS_NO_TARGET,0.01
2021,2021-06,canonical,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,1.0,11041.28,11067.59,26.31,0.24,4.1964,63.6,261,0.18,0.02,5.2722,7.8257,False,False,False,False,False,PASS_NO_TARGET,0.01
