source,month,risk_mode,rolling_7d_pct,rolling_14d_pct,rolling_30d_pct,rolling_60d_pct,target_5_30d,target_8_30d,target_10_30d,target_10_weekly
canonical,2020-01,fixed_0.01_lot,0.05,0.1,0.2,0.41,False,False,False,False
canonical,2020-02,fixed_0.01_lot,0.07,0.15,0.32,0.63,False,False,False,False
canonical,2020-03,fixed_0.01_lot,0.22,0.44,0.95,1.91,False,False,False,False
canonical,2020-04,fixed_0.01_lot,0.09,0.18,0.4,0.79,False,False,False,False
canonical,2020-05,fixed_0.01_lot,0.07,0.14,0.3,0.61,False,False,False,False
canonical,2020-06,fixed_0.01_lot,0.04,0.08,0.18,0.36,False,False,False,False
canonical,2020-07,fixed_0.01_lot,0.19,0.38,0.82,1.64,False,False,False,False
canonical,2020-08,fixed_0.01_lot,0.17,0.35,0.75,1.5,False,False,False,False
canonical,2020-09,fixed_0.01_lot,0.03,0.06,0.12,0.25,False,False,False,False
canonical,2020-10,fixed_0.01_lot,0.03,0.06,0.14,0.28,False,False,False,False
canonical,2020-11,fixed_0.01_lot,0.14,0.28,0.61,1.21,False,False,False,False
canonical,2020-12,fixed_0.01_lot,0.12,0.24,0.52,1.04,False,False,False,False
canonical,2021-01,fixed_0.01_lot,0.06,0.11,0.24,0.49,False,False,False,False
canonical,2021-02,fixed_0.01_lot,0.13,0.26,0.55,1.1,False,False,False,False
canonical,2021-03,fixed_0.01_lot,0.03,0.07,0.14,0.28,False,False,False,False
canonical,2021-04,fixed_0.01_lot,0.07,0.14,0.31,0.61,False,False,False,False
canonical,2021-05,fixed_0.01_lot,0.06,0.11,0.24,0.48,False,False,False,False
canonical,2021-06,fixed_0.01_lot,0.04,0.09,0.19,0.38,False,False,False,False
canonical,2021-07,fixed_0.01_lot,0.08,0.15,0.33,0.66,False,False,False,False
canonical,2021-08,fixed_0.01_lot,0.13,0.25,0.54,1.09,False,False,False,False
canonical,2021-09,fixed_0.01_lot,0.02,0.04,0.08,0.16,False,False,False,False
canonical,2021-10,fixed_0.01_lot,0.01,0.02,0.05,0.1,False,False,False,False
canonical,2021-11,fixed_0.01_lot,0.12,0.23,0.5,1.01,False,False,False,False
canonical,2021-12,fixed_0.01_lot,0.03,0.06,0.14,0.27,False,False,False,False
canonical,2022-01,fixed_0.01_lot,0.1,0.21,0.45,0.89,False,False,False,False
canonical,2022-02,fixed_0.01_lot,0.07,0.14,0.3,0.61,False,False,False,False
canonical,2022-03,fixed_0.01_lot,0.13,0.25,0.55,1.09,False,False,False,False
canonical,2022-04,fixed_0.01_lot,0.06,0.12,0.27,0.54,False,False,False,False
canonical,2022-05,fixed_0.01_lot,0.08,0.15,0.32,0.65,False,False,False,False
canonical,2022-06,fixed_0.01_lot,0.04,0.07,0.16,0.32,False,False,False,False
canonical,2022-07,fixed_0.01_lot,0.12,0.23,0.5,1.0,False,False,False,False
canonical,2022-08,fixed_0.01_lot,0.06,0.13,0.27,0.54,False,False,False,False
canonical,2022-09,fixed_0.01_lot,0.13,0.26,0.56,1.12,False,False,False,False
canonical,2022-10,fixed_0.01_lot,0.11,0.22,0.48,0.96,False,False,False,False
canonical,2022-11,fixed_0.01_lot,0.06,0.13,0.27,0.54,False,False,False,False
canonical,2022-12,fixed_0.01_lot,0.0,0.0,0.0,0.0,False,False,False,False
canonical,2023-01,fixed_0.01_lot,0.0,0.01,0.01,0.02,False,False,False,False
canonical,2023-02,fixed_0.01_lot,0.07,0.13,0.29,0.58,False,False,False,False
canonical,2023-03,fixed_0.01_lot,0.07,0.14,0.31,0.62,False,False,False,False
canonical,2023-04,fixed_0.01_lot,0.02,0.04,0.08,0.15,False,False,False,False
