source,month,rolling_7d_pct,rolling_14d_pct,rolling_30d_pct,rolling_60d_pct,target_10pct_30d,target_10pct_weekly
canonical,2020-01,0.05,0.1,0.2,0.52,False,False
canonical,2020-02,0.07,0.15,0.32,1.27,False,False
canonical,2020-03,0.22,0.44,0.95,1.35,False,False
canonical,2020-04,0.09,0.18,0.4,0.7,False,False
canonical,2020-05,0.07,0.14,0.3,0.48,False,False
canonical,2020-06,0.04,0.08,0.18,1.0,False,False
canonical,2020-07,0.19,0.38,0.82,1.57,False,False
canonical,2020-08,0.17,0.35,0.75,0.87,False,False
canonical,2020-09,0.03,0.06,0.12,0.26,False,False
canonical,2020-10,0.03,0.06,0.14,0.74,False,False
canonical,2020-11,0.14,0.28,0.61,1.13,False,False
canonical,2020-12,0.12,0.24,0.52,0.77,False,False
canonical,2021-01,0.06,0.11,0.24,0.79,False,False
canonical,2021-02,0.13,0.26,0.55,0.69,False,False
canonical,2021-03,0.03,0.07,0.14,0.45,False,False
canonical,2021-04,0.07,0.14,0.31,0.55,False,False
canonical,2021-05,0.06,0.11,0.24,0.43,False,False
canonical,2021-06,0.04,0.09,0.19,0.52,False,False
canonical,2021-07,0.08,0.15,0.33,0.87,False,False
canonical,2021-08,0.13,0.25,0.54,0.63,False,False
canonical,2021-09,0.02,0.04,0.08,0.13,False,False
canonical,2021-10,0.01,0.02,0.05,0.55,False,False
canonical,2021-11,0.12,0.23,0.5,0.64,False,False
canonical,2021-12,0.03,0.06,0.14,0.58,False,False
canonical,2022-01,0.1,0.21,0.45,0.75,False,False
canonical,2022-02,0.07,0.14,0.3,0.85,False,False
canonical,2022-03,0.13,0.25,0.55,0.81,False,False
canonical,2022-04,0.06,0.12,0.27,0.59,False,False
canonical,2022-05,0.08,0.15,0.32,0.48,False,False
canonical,2022-06,0.04,0.07,0.16,0.66,False,False
canonical,2022-07,0.12,0.23,0.5,0.77,False,False
canonical,2022-08,0.06,0.13,0.27,0.83,False,False
canonical,2022-09,0.13,0.26,0.56,1.04,False,False
canonical,2022-10,0.11,0.22,0.48,0.75,False,False
canonical,2022-11,0.06,0.13,0.27,0.27,False,False
canonical,2022-12,0.0,0.0,0.0,0.01,False,False
canonical,2023-01,0.0,0.01,0.01,0.3,False,False
canonical,2023-02,0.07,0.13,0.29,0.6,False,False
canonical,2023-03,0.07,0.14,0.31,0.39,False,False
canonical,2023-04,0.02,0.04,0.08,0.35,False,False
canonical,2023-05,0.06,0.13,0.28,0.29,False,False
canonical,2023-06,0.0,0.01,0.01,0.04,False,False
canonical,2023-07,0.01,0.01,0.03,0.21,False,False
canonical,2023-08,0.04,0.08,0.18,0.53,False,False
canonical,2023-09,0.08,0.16,0.35,0.92,False,False
canonical,2023-10,0.13,0.26,0.57,0.57,False,False
canonical,2023-11,0.0,0.0,0.01,0.47,False,False
canonical,2023-12,0.11,0.22,0.47,0.58,False,False
canonical,2024-01,0.03,0.05,0.11,0.21,False,False
canonical,2024-02,0.02,0.05,0.1,0.77,False,False
canonical,2024-03,0.15,0.31,0.67,1.39,False,False
canonical,2024-04,0.17,0.34,0.72,1.51,False,False
canonical,2024-05,0.18,0.36,0.78,0.45,False,False
canonical,2024-06,-0.08,-0.16,-0.33,0.77,False,False
canonical,2024-07,0.26,0.51,1.11,1.2,False,False
canonical,2024-08,0.02,0.04,0.1,0.6,False,False
canonical,2024-09,0.12,0.23,0.5,0.74,False,False
canonical,2024-10,0.06,0.11,0.24,1.15,False,False
canonical,2024-11,0.21,0.42,0.91,1.08,False,False
canonical,2024-12,0.04,0.08,0.17,0.78,False,False
canonical,2025-01,0.14,0.29,0.61,0.86,False,False
canonical,2025-02,0.06,0.11,0.25,0.97,False,False
canonical,2025-03,0.17,0.34,0.72,4.1,False,False
canonical,2025-04,0.79,1.57,3.38,6.37,False,False
canonical,2025-05,0.7,1.39,2.99,3.98,False,False
canonical,2025-06,0.23,0.46,0.99,1.92,False,False
canonical,2025-07,0.22,0.43,0.93,1.25,False,False
canonical,2025-08,0.07,0.15,0.32,2.73,False,False
canonical,2025-09,0.56,1.12,2.41,5.87,False,False
canonical,2025-10,0.8,1.61,3.46,5.01,False,False
canonical,2025-11,0.36,0.72,1.55,2.89,False,False
canonical,2025-12,0.31,0.62,1.34,1.34,False,False
exness,2021-02,0.04,0.08,0.17,0.51,False,False
exness,2021-03,0.08,0.16,0.34,0.78,False,False
exness,2021-04,0.1,0.2,0.44,0.6,False,False
exness,2021-05,0.04,0.07,0.16,0.27,False,False
exness,2021-06,0.03,0.05,0.11,0.23,False,False
exness,2021-07,0.03,0.05,0.12,0.56,False,False
exness,2021-08,0.1,0.2,0.44,0.82,False,False
exness,2021-09,0.09,0.18,0.38,0.71,False,False
exness,2021-10,0.08,0.15,0.32,0.77,False,False
exness,2021-11,0.1,0.21,0.44,0.71,False,False
exness,2021-12,0.06,0.12,0.26,0.52,False,False
exness,2022-01,0.06,0.12,0.26,0.67,False,False
exness,2022-02,0.1,0.19,0.42,1.89,False,False
