group,year,month,source,profit_pct,max_dd_pct,trade_count,pf,win_rate
below_0,2024,2024-06,canonical,-1.3,5.88,213,3.6962,61.5
below_0,2023,2023-06,fbs,-0.04,3.25,477,4.4083,72.33
below_0,2024,2024-02,fbs,-0.14,7.0,488,4.439,71.52
below_0,2023,2023-06,icmarkets,-0.01,3.12,479,4.4949,73.7
below_0,2024,2024-02,icmarkets,-0.06,7.12,488,4.2325,71.11
0_to_2,2020,2020-06,canonical,1.76,2.38,192,5.6071,66.67
0_to_2,2020,2020-09,canonical,1.04,2.38,192,5.6071,66.67
0_to_2,2020,2020-10,canonical,1.15,2.38,192,5.6071,66.67
0_to_2,2021,2021-01,canonical,1.83,2.25,204,3.712,67.16
0_to_2,2021,2021-03,canonical,0.99,2.25,204,3.712,67.16
0_to_2,2021,2021-05,canonical,1.65,2.25,204,3.712,67.16
0_to_2,2021,2021-06,canonical,1.29,2.25,204,3.712,67.16
0_to_2,2021,2021-09,canonical,0.52,2.25,204,3.712,67.16
0_to_2,2021,2021-10,canonical,0.32,2.25,204,3.712,67.16
0_to_2,2021,2021-12,canonical,0.83,2.25,204,3.712,67.16
0_to_2,2022,2022-02,canonical,1.78,1.62,216,4.5813,65.28
0_to_2,2022,2022-04,canonical,1.5,1.62,216,4.5813,65.28
0_to_2,2022,2022-05,canonical,1.77,1.62,216,4.5813,65.28
0_to_2,2022,2022-06,canonical,0.85,1.62,216,4.5813,65.28
0_to_2,2022,2022-08,canonical,1.42,1.62,216,4.5813,65.28
0_to_2,2022,2022-11,canonical,1.33,1.62,216,4.5813,65.28
0_to_2,2022,2022-12,canonical,0.01,1.62,216,4.5813,65.28
0_to_2,2023,2023-01,canonical,0.06,2.62,232,2.4737,64.22
0_to_2,2023,2023-02,canonical,1.39,2.62,232,2.4737,64.22
0_to_2,2023,2023-03,canonical,1.46,2.62,232,2.4737,64.22
0_to_2,2023,2023-04,canonical,0.36,2.62,232,2.4737,64.22
0_to_2,2023,2023-05,canonical,1.29,2.62,232,2.4737,64.22
0_to_2,2023,2023-06,canonical,0.05,2.62,232,2.4737,64.22
0_to_2,2023,2023-07,canonical,0.13,2.62,232,2.4737,64.22
0_to_2,2023,2023-08,canonical,0.82,2.62,232,2.4737,64.22
0_to_2,2023,2023-09,canonical,1.59,2.62,232,2.4737,64.22
0_to_2,2023,2023-11,canonical,0.02,2.62,232,2.4737,64.22
0_to_2,2024,2024-01,canonical,0.47,5.88,213,3.6962,61.5
0_to_2,2024,2024-02,canonical,0.44,5.88,213,3.6962,61.5
0_to_2,2024,2024-08,canonical,0.36,5.88,213,3.6962,61.5
0_to_2,2024,2024-09,canonical,1.89,5.88,213,3.6962,61.5
0_to_2,2024,2024-10,canonical,0.88,5.88,213,3.6962,61.5
0_to_2,2024,2024-12,canonical,0.6,5.88,213,3.6962,61.5
0_to_2,2025,2025-02,canonical,0.85,8.25,252,9.0459,67.86
0_to_2,2025,2025-08,canonical,0.83,8.25,252,9.0459,67.86
