profile,year,month,source,simulated_profit_pct,simulated_dd_pct
SAFE_FUNDED,2020,2020-01,canonical,1.39,1.21
SAFE_FUNDED,2020,2020-02,canonical,2.22,1.21
SAFE_FUNDED,2020,2020-03,canonical,6.6,1.21
SAFE_FUNDED,2020,2020-04,canonical,2.71,1.21
SAFE_FUNDED,2020,2020-05,canonical,2.08,1.21
SAFE_FUNDED,2020,2020-06,canonical,1.18,1.21
SAFE_FUNDED,2020,2020-07,canonical,5.56,1.21
SAFE_FUNDED,2020,2020-08,canonical,5.07,1.21
SAFE_FUNDED,2020,2020-09,canonical,0.83,1.21
SAFE_FUNDED,2020,2020-10,canonical,0.9,1.21
SAFE_FUNDED,2020,2020-11,canonical,4.03,1.21
SAFE_FUNDED,2020,2020-12,canonical,3.47,1.21
SAFE_FUNDED,2021,2021-01,canonical,1.6,1.14
SAFE_FUNDED,2021,2021-02,canonical,3.61,1.14
SAFE_FUNDED,2021,2021-03,canonical,0.9,1.14
SAFE_FUNDED,2021,2021-04,canonical,2.01,1.14
SAFE_FUNDED,2021,2021-05,canonical,1.6,1.14
SAFE_FUNDED,2021,2021-06,canonical,1.25,1.14
SAFE_FUNDED,2021,2021-07,canonical,2.15,1.14
SAFE_FUNDED,2021,2021-08,canonical,3.54,1.14
SAFE_FUNDED,2021,2021-09,canonical,0.56,1.14
SAFE_FUNDED,2021,2021-10,canonical,0.35,1.14
SAFE_FUNDED,2021,2021-11,canonical,3.26,1.14
SAFE_FUNDED,2021,2021-12,canonical,0.9,1.14
SAFE_FUNDED,2022,2022-01,canonical,2.85,0.83
SAFE_FUNDED,2022,2022-02,canonical,1.94,0.83
SAFE_FUNDED,2022,2022-03,canonical,3.47,0.83
SAFE_FUNDED,2022,2022-04,canonical,1.67,0.83
SAFE_FUNDED,2022,2022-05,canonical,2.01,0.83
SAFE_FUNDED,2022,2022-06,canonical,0.97,0.83
SAFE_FUNDED,2022,2022-07,canonical,3.13,0.83
SAFE_FUNDED,2022,2022-08,canonical,1.67,0.83
SAFE_FUNDED,2022,2022-09,canonical,3.47,0.83
SAFE_FUNDED,2022,2022-10,canonical,2.99,0.83
SAFE_FUNDED,2022,2022-11,canonical,1.67,0.83
SAFE_FUNDED,2022,2022-12,canonical,0.0,0.83
SAFE_FUNDED,2023,2023-01,canonical,0.07,1.33
SAFE_FUNDED,2023,2023-02,canonical,1.81,1.33
SAFE_FUNDED,2023,2023-03,canonical,1.88,1.33
SAFE_FUNDED,2023,2023-04,canonical,0.49,1.33
SAFE_FUNDED,2023,2023-05,canonical,1.67,1.33
SAFE_FUNDED,2023,2023-06,canonical,0.07,1.33
SAFE_FUNDED,2023,2023-07,canonical,0.14,1.33
SAFE_FUNDED,2023,2023-08,canonical,1.11,1.33
SAFE_FUNDED,2023,2023-09,canonical,2.15,1.33
SAFE_FUNDED,2023,2023-10,canonical,3.47,1.33
SAFE_FUNDED,2023,2023-11,canonical,0.0,1.33
SAFE_FUNDED,2023,2023-12,canonical,2.85,1.33
SAFE_FUNDED,2024,2024-01,canonical,0.69,2.99
SAFE_FUNDED,2024,2024-02,canonical,0.63,2.99
SAFE_FUNDED,2024,2024-03,canonical,4.03,2.99
SAFE_FUNDED,2024,2024-04,canonical,4.31,2.99
SAFE_FUNDED,2024,2024-05,canonical,4.65,2.99
SAFE_FUNDED,2024,2024-06,canonical,-1.94,2.99
SAFE_FUNDED,2024,2024-07,canonical,6.53,2.99
SAFE_FUNDED,2024,2024-08,canonical,0.56,2.99
SAFE_FUNDED,2024,2024-09,canonical,2.92,2.99
SAFE_FUNDED,2024,2024-10,canonical,1.39,2.99
SAFE_FUNDED,2024,2024-11,canonical,5.28,2.99
SAFE_FUNDED,2024,2024-12,canonical,0.97,2.99
SAFE_FUNDED,2025,2025-01,canonical,3.54,4.19
SAFE_FUNDED,2025,2025-02,canonical,1.39,4.19
SAFE_FUNDED,2025,2025-03,canonical,4.1,4.19
SAFE_FUNDED,2025,2025-04,canonical,19.24,4.19
SAFE_FUNDED,2025,2025-05,canonical,16.6,4.19
SAFE_FUNDED,2025,2025-06,canonical,5.35,4.19
SAFE_FUNDED,2025,2025-07,canonical,5.0,4.19
SAFE_FUNDED,2025,2025-08,canonical,1.67,4.19
SAFE_FUNDED,2025,2025-09,canonical,12.85,4.19
