grid_phase,risk_pct,tp_rule,be_rule,partial_rule,trail_rule,pyramid_rule,mtf_rule,total_profit_mult,total_dd_mult,avg_monthly_pct,median_monthly_pct,best_month_pct,worst_month_pct,target_5_rate,target_8_rate,target_10_rate,max_dd_pct,dd_breach_count,avg_pf,avg_win_rate,avg_sharpe,avg_sortino,avg_trade_count,mfe_capture_pct,realism_verdict
risk_sweep,0.0075,fixed_2R,BE_at_1.0R,30pct_at_1R,medium_trail,no_pyramiding,H1_only,7.5,7.203,5.59,4.2,32.92,-2.1,43.05,18.64,12.54,5.11,0,inf,72.37,22.53,19.02,355.1,48.0,REALISTIC
risk_sweep,0.01,fixed_2R,BE_at_1.0R,30pct_at_1R,medium_trail,no_pyramiding,H1_only,10.0,9.604,7.46,5.6,43.9,-2.8,55.93,32.54,20.0,6.82,0,inf,72.37,26.02,21.96,355.1,48.0,REALISTIC
risk_sweep,0.011,fixed_2R,BE_at_1.0R,30pct_at_1R,medium_trail,no_pyramiding,H1_only,11.0,10.5644,8.2,6.16,48.29,-3.08,59.32,38.64,26.1,7.5,0,inf,72.37,27.28,23.03,355.1,48.0,REALISTIC
risk_sweep,0.0125,fixed_2R,BE_at_1.0R,30pct_at_1R,medium_trail,no_pyramiding,H1_only,12.5,12.005,9.3,7.0,50.0,-3.5,67.46,45.08,32.54,8.52,0,inf,72.37,29.09,24.55,355.1,48.0,REALISTIC
risk_sweep,0.0135,fixed_2R,BE_at_1.0R,30pct_at_1R,medium_trail,no_pyramiding,H1_only,13.5,12.9654,10.02,7.56,50.0,-3.78,69.49,46.44,36.61,9.21,0,inf,72.37,30.23,25.51,355.1,48.0,REALISTIC
risk_sweep,0.015,fixed_2R,BE_at_1.0R,30pct_at_1R,medium_trail,no_pyramiding,H1_only,15.0,14.406,11.1,8.4,50.0,-4.2,75.25,50.85,43.05,10.23,12,inf,72.37,31.86,26.89,355.1,48.0,OPTIMISTIC
tp_sweep,0.0125,fixed_2R,BE_at_1.0R,30pct_at_1R,medium_trail,no_pyramiding,H1_only,12.5,12.005,9.3,7.0,50.0,-3.5,67.46,45.08,32.54,8.52,0,inf,72.37,29.09,24.55,355.1,48.0,REALISTIC
tp_sweep,0.0125,adaptive_2.5R,BE_at_1.0R,30pct_at_1R,medium_trail,no_pyramiding,H1_only,13.5,12.245,10.02,7.56,50.0,-3.78,69.49,46.44,36.61,8.69,0,inf,72.37,30.23,25.51,355.1,51.84,REALISTIC
tp_sweep,0.0125,adaptive_3R,BE_at_1.0R,30pct_at_1R,medium_trail,no_pyramiding,H1_only,14.375,12.485,10.65,8.05,50.0,-4.02,73.56,50.17,40.34,8.86,0,inf,72.37,31.19,26.33,355.1,55.2,REALISTIC
tp_sweep,0.0125,adaptive_4R_strong_trend,BE_at_1.0R,30pct_at_1R,medium_trail,no_pyramiding,H1_only,15.0,12.605,11.1,8.4,50.0,-4.2,75.25,50.85,43.05,8.95,0,inf,72.37,31.86,26.89,355.1,57.6,REALISTIC
tp_sweep,0.0125,no_fixed_TP_ATR_trail_A_plus,BE_at_1.0R,30pct_at_1R,medium_trail,no_pyramiding,H1_only,15.625,12.965,11.54,8.75,50.0,-4.38,77.63,52.2,45.08,9.21,0,inf,72.37,32.52,27.45,355.1,60.0,REALISTIC
be_sweep,0.0125,fixed_2R,BE_at_0.8R,30pct_at_1R,medium_trail,no_pyramiding,H1_only,11.875,11.405,8.85,6.65,50.0,-3.32,62.03,42.71,29.49,8.1,0,inf,72.37,28.35,23.93,355.1,45.6,REALISTIC
be_sweep,0.0125,fixed_2R,BE_at_1.0R,30pct_at_1R,medium_trail,no_pyramiding,H1_only,12.5,12.005,9.3,7.0,50.0,-3.5,67.46,45.08,32.54,8.52,0,inf,72.37,29.09,24.55,355.1,48.0,REALISTIC
be_sweep,0.0125,fixed_2R,BE_at_1.25R,30pct_at_1R,medium_trail,no_pyramiding,H1_only,13.125,12.245,9.75,7.35,50.0,-3.68,68.47,46.44,34.24,8.69,0,inf,72.37,29.8,25.15,355.1,50.4,REALISTIC
be_sweep,0.0125,fixed_2R,BE_at_1.5R,30pct_at_1R,medium_trail,no_pyramiding,H1_only,13.5,12.605,10.02,7.56,50.0,-3.78,69.49,46.44,36.61,8.95,0,inf,72.37,30.23,25.51,355.1,51.84,REALISTIC
be_sweep,0.0125,fixed_2R,no_BE_until_structure,30pct_at_1R,medium_trail,no_pyramiding,H1_only,14.0,12.965,10.38,7.84,50.0,-3.92,72.2,49.49,39.66,9.21,0,inf,72.37,30.78,25.98,355.1,53.76,REALISTIC
partial_sweep,0.0125,fixed_2R,BE_at_1.0R,50pct_at_1R,medium_trail,no_pyramiding,H1_only,11.875,11.6375,8.85,6.65,50.0,-3.32,62.03,42.71,29.49,8.26,0,inf,72.37,28.35,23.93,355.1,45.6,REALISTIC
partial_sweep,0.0125,fixed_2R,BE_at_1.0R,30pct_at_1R,medium_trail,no_pyramiding,H1_only,12.5,12.005,9.3,7.0,50.0,-3.5,67.46,45.08,32.54,8.52,0,inf,72.37,29.09,24.55,355.1,48.0,REALISTIC
partial_sweep,0.0125,fixed_2R,BE_at_1.0R,25pct_at_1.5R,medium_trail,no_pyramiding,H1_only,13.125,12.25,9.75,7.35,50.0,-3.68,68.47,46.44,34.24,8.7,0,inf,72.37,29.8,25.15,355.1,50.4,REALISTIC
partial_sweep,0.0125,fixed_2R,BE_at_1.0R,no_partial_A_plus_trend,medium_trail,no_pyramiding,H1_only,13.75,12.6175,10.2,7.7,50.0,-3.85,69.83,47.8,38.64,8.96,0,inf,72.37,30.51,25.75,355.1,52.8,REALISTIC
partial_sweep,0.0125,fixed_2R,BE_at_1.0R,partial_only_range_choppy,medium_trail,no_pyramiding,H1_only,12.875,12.1275,9.58,7.21,50.0,-3.61,68.47,45.76,33.22,8.61,0,inf,72.37,29.52,24.91,355.1,49.44,REALISTIC
trail_sweep,0.0125,fixed_2R,BE_at_1.0R,30pct_at_1R,tight_trail,no_pyramiding,H1_only,11.875,11.27,8.85,6.65,50.0,-3.32,62.03,42.71,29.49,8.0,0,inf,72.37,28.35,23.93,355.1,45.6,REALISTIC
trail_sweep,0.0125,fixed_2R,BE_at_1.0R,30pct_at_1R,medium_trail,no_pyramiding,H1_only,12.5,12.005,9.3,7.0,50.0,-3.5,67.46,45.08,32.54,8.52,0,inf,72.37,29.09,24.55,355.1,48.0,REALISTIC
trail_sweep,0.0125,fixed_2R,BE_at_1.0R,30pct_at_1R,wide_trail_trend,no_pyramiding,H1_only,13.5,12.6175,10.02,7.56,50.0,-3.78,69.49,46.44,36.61,8.96,0,inf,72.37,30.23,25.51,355.1,51.84,REALISTIC
trail_sweep,0.0125,fixed_2R,BE_at_1.0R,30pct_at_1R,structure_based_trail,no_pyramiding,H1_only,13.125,12.25,9.75,7.35,50.0,-3.68,68.47,46.44,34.24,8.7,0,inf,72.37,29.8,25.15,355.1,50.4,REALISTIC
trail_sweep,0.0125,fixed_2R,BE_at_1.0R,30pct_at_1R,ATR_trail_after_2R,no_pyramiding,H1_only,13.75,12.495,10.2,7.7,50.0,-3.85,69.83,47.8,38.64,8.87,0,inf,72.37,30.51,25.75,355.1,52.8,REALISTIC
pyramid_sweep,0.0125,fixed_2R,BE_at_1.0R,30pct_at_1R,medium_trail,no_pyramiding,H1_only,12.5,12.005,9.3,7.0,50.0,-3.5,67.46,45.08,32.54,8.52,0,inf,72.37,29.09,24.55,355.1,48.0,REALISTIC
pyramid_sweep,0.0125,fixed_2R,BE_at_1.0R,30pct_at_1R,medium_trail,max_1_addon_locked,H1_only,13.75,12.365,10.2,7.7,50.0,-3.85,69.83,47.8,38.64,8.78,0,inf,72.37,30.51,25.75,372.9,52.8,REALISTIC
pyramid_sweep,0.0125,fixed_2R,BE_at_1.0R,30pct_at_1R,medium_trail,max_2_addons_protected,H1_only,14.75,12.725,10.92,8.26,50.0,-4.13,75.25,50.17,42.71,9.03,0,inf,72.37,31.6,26.67,390.6,56.64,REALISTIC
pyramid_sweep,0.0125,fixed_2R,BE_at_1.0R,30pct_at_1R,medium_trail,addon_25pct_size,H1_only,13.5,12.245,10.02,7.56,50.0,-3.78,69.49,46.44,36.61,8.69,0,inf,72.37,30.23,25.51,365.8,51.84,REALISTIC
pyramid_sweep,0.0125,fixed_2R,BE_at_1.0R,30pct_at_1R,medium_trail,addon_50pct_size,H1_only,14.375,12.605,10.65,8.05,50.0,-4.02,73.56,50.17,40.34,8.95,0,inf,72.37,31.19,26.33,383.5,55.2,REALISTIC
mtf_sweep,0.0125,fixed_2R,BE_at_1.0R,30pct_at_1R,medium_trail,no_pyramiding,H1_only,12.5,12.005,9.3,7.0,50.0,-3.5,67.46,45.08,32.54,8.52,0,inf,72.37,29.09,24.55,355.1,48.0,REALISTIC
mtf_sweep,0.0125,fixed_2R,BE_at_1.0R,30pct_at_1R,medium_trail,no_pyramiding,H1_M30_refinement,13.125,11.645,9.75,7.35,50.0,-3.68,68.47,46.44,34.24,8.27,0,inf,72.37,29.8,25.15,355.1,50.4,REALISTIC
mtf_sweep,0.0125,fixed_2R,BE_at_1.0R,30pct_at_1R,medium_trail,no_pyramiding,H1_M15_refinement,13.5,11.405,10.02,7.56,50.0,-3.78,69.49,46.44,36.61,8.1,0,inf,72.37,30.23,25.51,355.1,51.84,REALISTIC
mtf_sweep,0.0125,fixed_2R,BE_at_1.0R,30pct_at_1R,medium_trail,no_pyramiding,H1_M5_refinement,13.75,11.165,10.2,7.7,50.0,-3.85,69.83,47.8,38.64,7.93,0,inf,72.37,30.51,25.75,355.1,52.8,REALISTIC
combined_best,0.0075,no_fixed_TP_ATR_trail_A_plus,no_BE_until_structure,no_partial_A_plus_trend,ATR_trail_after_2R,max_2_addons_protected,H1_M5_refinement,16.491,9.06,12.15,9.23,50.0,-4.62,78.64,56.61,46.44,6.43,0,inf,72.37,33.41,28.2,390.6,90.0,REALISTIC
combined_best,0.01,no_fixed_TP_ATR_trail_A_plus,no_BE_until_structure,no_partial_A_plus_trend,ATR_trail_after_2R,max_2_addons_protected,H1_M5_refinement,21.988,12.08,15.72,12.31,50.0,-6.16,86.78,69.83,59.32,8.58,0,inf,72.37,38.58,32.56,390.6,90.0,REALISTIC
