month,trades,net_profit,win_rate
2021-08,5,148.37,0.6
2021-09,6,648.0,1.0
2021-10,8,430.41,0.875
2021-11,6,465.49,1.0
2021-12,5,-37.24,0.4
2022-01,6,674.99,0.8333
2022-02,11,1012.62,0.9091
2022-03,9,558.12,0.7778
2022-04,9,365.79,0.7778
2022-05,10,418.64,0.8
2022-06,10,287.95,0.6
2022-07,9,153.86,0.6667
2022-08,15,340.31,0.7333
2022-09,11,261.8,0.6364
2022-10,10,189.49,0.6
2022-11,9,540.76,1.0
2022-12,11,894.89,0.8182
2023-01,12,293.56,0.75
2023-02,3,337.98,0.6667
2023-03,13,941.96,0.6923
2023-04,10,703.04,0.9
2023-05,10,919.47,0.9
2023-06,9,263.77,0.5556
2024-01,2,352.49,1.0
2024-02,4,188.24,0.5
2024-03,10,250.71,0.5
2024-04,13,513.68,0.7692
2024-05,14,963.9,0.9286
2024-06,13,962.29,0.9231
2024-07,10,550.14,1.0
2024-08,12,689.58,0.9167
2024-09,14,1099.45,0.8571
2024-10,8,315.77,0.75
2024-11,7,423.27,1.0
2024-12,4,265.4,1.0
2025-01,10,601.02,0.8
2025-02,5,66.27,0.8
2025-03,10,261.49,0.7
2025-04,13,322.18,0.7692
2025-05,15,905.84,0.9333
2025-06,6,541.73,1.0
2025-07,10,328.56,0.8
2025-08,13,962.05,1.0
2025-09,15,924.03,0.9333
2025-10,26,869.91,0.8462
2025-11,8,399.07,0.875
2025-12,8,244.2,1.0
2026-01,10,142.3,0.4
2026-02,5,145.88,0.8
2026-03,11,516.65,0.9091
2026-04,12,488.94,1.0
2026-05,13,721.15,0.9231
2026-06,6,159.88,0.8333
