trade_id,fold,segment,timestamp_entry,timestamp_exit,direction,regime,setup,alpha_proba,meta_proba,approved_risk,actual_risk_percent,risk_amount,lot_size,entry_price,sl_price,tp_price,exit_price,exit_reason,r_gross,r_net,pnl_gross,pnl_net,commission,total_cost,monetary_loss_at_sl,equity_before,equity_after,daily_dd_before,total_dd_before,decision_id
t01_00001,1,dev_wfo,2021-05-25 16:00:00+00:00,2021-05-25 18:00:00+00:00,LONG,,CONTINUATION,0.745921,0.882184,0.003,0.002957,300.0,0.14,1884.0573,1862.9339,1926.3041,1892.23,TIMEOUT,0.381391,0.319573,114.42,95.87,0.98,18.55,295.73,100000.0,100095.87,0.0,0.0,dec_20260713T115704864598
t01_00002,1,dev_wfo,2021-05-25 17:00:00+00:00,2021-05-25 19:00:00+00:00,LONG,,CONTINUATION,0.780384,0.815482,0.0025,0.002469,250.24,0.11,1884.944,1862.4765,1929.879,1895.42,TIMEOUT,0.460502,0.402566,115.24,100.74,0.77,14.5,247.14,100095.87,100196.61,0.0,0.0,dec_20260713T115704868420
t01_00003,1,dev_wfo,2021-05-26 05:00:00+00:00,2021-05-26 07:00:00+00:00,LONG,,CONTINUATION,0.574423,0.654307,0.003,0.002929,300.59,0.13,1903.5873,1881.0086,1948.7448,1906.51,TIMEOUT,0.1264,0.068246,37.99,20.51,0.91,17.48,293.52,100196.61,100217.12,0.0,0.0,dec_20260713T115704880771
t01_00004,1,dev_wfo,2021-05-28 14:00:00+00:00,2021-05-28 16:00:00+00:00,LONG,,FAILED_BREAKOUT,0.761733,0.809021,0.0021,0.002027,210.46,0.13,1893.5307,1877.9035,1924.785,1898.26,TIMEOUT,0.292128,0.207422,61.48,43.65,0.91,17.83,203.15,100217.12,100260.78,0.0,0.0,dec_20260713T115705018505
t01_00005,1,dev_wfo,2021-05-28 20:00:00+00:00,2021-05-28 22:00:00+00:00,LONG,,CONTINUATION,0.717346,0.695868,0.0025,0.002396,250.65,0.11,1900.6073,1878.7698,1944.2823,1903.99,TIMEOUT,0.148451,0.089439,37.21,22.42,0.77,14.79,240.21,100260.78,100283.2,0.0,0.0,dec_20260713T115705036091
t01_00006,1,dev_wfo,2021-05-31 02:00:00+00:00,2021-05-31 04:00:00+00:00,LONG,,CONTINUATION,0.747837,0.83033,0.0025,0.002461,250.71,0.12,1904.4207,1883.8533,1945.5553,1907.85,TIMEOUT,0.164142,0.100419,41.15,25.18,0.84,15.98,246.81,100283.2,100308.37,0.0,0.0,dec_20260713T115705039467
t01_00007,1,dev_wfo,2021-05-31 04:00:00+00:00,2021-05-31 06:00:00+00:00,LONG,,CONTINUATION,0.76174,0.795921,0.003,0.002983,300.93,0.15,1905.504,1885.5545,1945.4029,1908.43,TIMEOUT,0.145848,0.077161,43.89,23.22,1.05,20.67,299.24,100308.37,100331.59,0.0,0.0,dec_20260713T115705045472
t01_00008,1,dev_wfo,2021-06-01 14:00:00+00:00,2021-06-01 16:00:00+00:00,LONG,,RANGE_EDGE_REJECTION,0.761481,0.715525,0.0021,0.001978,210.7,0.11,1906.8307,1888.7912,1942.9096,1903.55,TIMEOUT,-0.171274,-0.240778,-36.09,-50.73,0.77,14.64,198.43,100331.59,100280.86,0.000506,0.000506,dec_20260713T115705079890
t01_00009,1,dev_wfo,2021-06-07 20:00:00+00:00,2021-06-07 22:00:00+00:00,LONG,,CONTINUATION,0.765188,0.852204,0.003,0.002966,300.84,0.17,1895.7373,1878.2413,1930.7295,1899.83,TIMEOUT,0.23127,0.157546,69.58,47.4,1.19,22.18,297.43,100280.86,100328.26,0.0,3.3e-05,dec_20260713T115705329578
t01_00010,1,dev_wfo,2021-06-10 21:00:00+00:00,2021-06-10 23:00:00+00:00,LONG,,CONTINUATION,0.661713,0.767902,0.0025,0.002317,250.82,0.08,1895.2523,1866.1918,1953.3734,1898.44,TIMEOUT,0.101672,0.060059,25.5,15.06,0.56,10.44,232.48,100328.26,100343.32,0.0,0.0,dec_20260713T115705501050
