alpha_threshold,meta_threshold,risk_percent,sl_atr_multiplier,rr_target,max_holding_bars,max_trades_per_day,cooldown_after_loss,session_filter,spread_filter,trades,wr,pf,sharpe,return,max_dd,dd_breaches,profitable_months,hit_10,hit_12,verdict
0.5,0.5,0.0075,2.0,2.5,3,2,5,all,0.5,32,0.5938,2.575,5.7048,0.069656,0.069656,0,2,0,0,NEAR_PASS
0.5,0.52,0.0075,2.0,2.5,3,2,5,all,0.5,32,0.5938,2.575,5.7048,0.069656,0.069656,0,2,0,0,NEAR_PASS
0.52,0.5,0.0075,2.0,2.5,3,2,5,all,0.5,32,0.5938,2.575,5.7048,0.069656,0.069656,0,2,0,0,NEAR_PASS
0.52,0.52,0.0075,2.0,2.5,3,2,5,all,0.5,32,0.5938,2.575,5.7048,0.069656,0.069656,0,2,0,0,NEAR_PASS
0.55,0.5,0.0075,2.0,2.5,3,2,5,all,0.5,32,0.5938,2.575,5.7048,0.069656,0.069656,0,2,0,0,NEAR_PASS
0.55,0.52,0.0075,2.0,2.5,3,2,5,all,0.5,32,0.5938,2.575,5.7048,0.069656,0.069656,0,2,0,0,NEAR_PASS
0.5,0.5,0.0075,2.0,3.0,3,2,5,all,0.5,32,0.5938,2.575,5.7048,0.069656,0.069656,0,2,0,0,NEAR_PASS
0.5,0.52,0.0075,2.0,3.0,3,2,5,all,0.5,32,0.5938,2.575,5.7048,0.069656,0.069656,0,2,0,0,NEAR_PASS
0.52,0.5,0.0075,2.0,3.0,3,2,5,all,0.5,32,0.5938,2.575,5.7048,0.069656,0.069656,0,2,0,0,NEAR_PASS
0.52,0.52,0.0075,2.0,3.0,3,2,5,all,0.5,32,0.5938,2.575,5.7048,0.069656,0.069656,0,2,0,0,NEAR_PASS
0.55,0.5,0.0075,2.0,3.0,3,2,5,all,0.5,32,0.5938,2.575,5.7048,0.069656,0.069656,0,2,0,0,NEAR_PASS
0.55,0.52,0.0075,2.0,3.0,3,2,5,all,0.5,32,0.5938,2.575,5.7048,0.069656,0.069656,0,2,0,0,NEAR_PASS
0.5,0.5,0.0075,2.0,3.5,3,2,5,all,0.5,32,0.5938,2.575,5.7048,0.069656,0.069656,0,2,0,0,NEAR_PASS
0.5,0.52,0.0075,2.0,3.5,3,2,5,all,0.5,32,0.5938,2.575,5.7048,0.069656,0.069656,0,2,0,0,NEAR_PASS
0.52,0.5,0.0075,2.0,3.5,3,2,5,all,0.5,32,0.5938,2.575,5.7048,0.069656,0.069656,0,2,0,0,NEAR_PASS
0.52,0.52,0.0075,2.0,3.5,3,2,5,all,0.5,32,0.5938,2.575,5.7048,0.069656,0.069656,0,2,0,0,NEAR_PASS
0.55,0.5,0.0075,2.0,3.5,3,2,5,all,0.5,32,0.5938,2.575,5.7048,0.069656,0.069656,0,2,0,0,NEAR_PASS
