month,year,trades,win_rate,profit_factor,sharpe,monthly_return,monthly_max_dd,avg_lot,avg_margin_usage,target_10pct_hit,target_12pct_hit,month_profitable
2025-01,2025,32,0.6562,2.6207,6.1835,0.13171,0.0,1.8997,0.047953,True,True,True
2025-02,2025,34,0.3235,0.7083,-2.2881,-0.071742,0.071742,1.9827,0.051202,False,False,False
2025-03,2025,35,0.6,2.1258,4.9387,0.167102,0.0,1.9963,0.052906,True,True,True
2025-04,2025,35,0.4571,2.0583,4.994,0.266659,0.058616,2.4752,0.056951,True,True,True
2025-05,2025,33,0.4848,1.8754,4.3905,0.196522,0.024844,3.0777,0.058276,True,True,True
2025-06,2025,30,0.2,0.3556,-8.0156,-0.167757,0.167757,3.0604,0.059288,False,False,False
2025-07,2025,34,0.5294,1.5331,2.8724,0.082619,0.017908,2.8353,0.059086,False,False,True
2025-08,2025,30,0.4667,0.7143,-2.0897,-0.04499,0.091381,2.7954,0.059547,False,False,False
2025-09,2025,31,0.5806,2.4787,6.2413,0.247419,0.0125,3.112,0.064424,True,True,True
2025-10,2025,34,0.3824,1.4053,2.5991,0.118709,0.0125,3.8685,0.071769,True,False,True
2025-11,2025,23,0.3043,1.2619,1.7618,0.053488,0.027538,4.0068,0.072198,False,False,True
2025-12,2025,32,0.4062,0.9446,-0.2592,-0.01319,0.04431,4.1374,0.076239,False,False,False
2026-01,2026,25,0.2,0.4736,-5.2016,-0.12223,0.12223,3.9245,0.084835,False,False,False
2026-02,2026,15,0.1333,0.4456,-5.4482,-0.085974,0.095733,3.4234,0.086666,False,False,False
2026-03,2026,2,0.5,2.8916,7.9373,0.024531,0.0,3.356,0.088366,False,False,True
2026-04,2026,0,0,0,0,0.0,0.0,0,0,False,False,False
2026-05,2026,0,0,0,0,0.0,0.0,0,0,False,False,False
2026-06,2026,0,0,0,0,0.0,0.0,0,0,False,False,False
