trade_id,fold,segment,timestamp_entry,timestamp_exit,direction,regime,setup,alpha_proba,meta_proba,approved_risk,actual_risk_percent,risk_amount,lot_size,entry_price,sl_price,tp_price,exit_price,exit_reason,r_gross,r_net,pnl_gross,pnl_net,commission,total_cost,monetary_loss_at_sl,equity_before,equity_after,daily_dd_before,total_dd_before,decision_id
t01_00001,1,dev_wfo,2021-09-30 16:00:00+00:00,2021-09-30 18:00:00+00:00,LONG,,CONTINUATION,0.891291,0.836288,0.0025,0.002439,250.0,0.08,1737.7373,1707.2455,1798.7209,1757.89,TIMEOUT,0.644885,0.606336,161.22,151.58,0.56,9.64,243.93,100000.03000000001,100151.61000000002,0.0,0.0,dec_20260713T104527695750
t01_00002,1,dev_wfo,2021-09-30 17:00:00+00:00,2021-09-30 19:00:00+00:00,LONG,,CONTINUATION,0.864279,0.842613,0.0025,0.002367,250.38,0.07,1742.654,1708.7892,1810.3836,1758.12,TIMEOUT,0.432391,0.398898,108.26,99.88,0.49,8.39,237.05,100151.61000000002,100251.49000000002,0.0,0.0,dec_20260713T104527698951
t01_00003,1,dev_wfo,2021-10-08 13:00:00+00:00,2021-10-08 15:00:00+00:00,LONG,,CONTINUATION,0.860302,0.897673,0.0025,0.002438,250.63,0.16,1759.9007,1744.6264,1790.4492,1775.85,TIMEOUT,1.018191,0.939584,255.19,235.49,1.12,19.7,244.39,100251.49000000002,100486.98000000001,0.0,0.0,dec_20260713T104528018690
t01_00004,1,dev_wfo,2021-10-08 14:00:00+00:00,2021-10-08 16:00:00+00:00,LONG,,CONTINUATION,0.878477,0.894052,0.0025,0.002462,251.22,0.13,1760.384,1741.3542,1798.4436,1772.38,TIMEOUT,0.620763,0.556699,155.95,139.85,0.91,16.09,247.39,100486.98000000001,100626.83000000002,0.0,0.0,dec_20260713T104528022246
t01_00005,1,dev_wfo,2021-10-12 14:00:00+00:00,2021-10-12 16:00:00+00:00,LONG,,CONTINUATION,0.699735,0.652593,0.0025,0.002382,251.57,0.14,1762.954,1745.8304,1797.2011,1768.22,TIMEOUT,0.293056,0.22416,73.72,56.39,0.98,17.33,239.73,100626.83000000002,100683.22000000002,0.0,0.0,dec_20260713T104528104980
t01_00006,1,dev_wfo,2021-10-14 12:00:00+00:00,2021-10-14 14:00:00+00:00,LONG,,CONTINUATION,0.68293,0.780702,0.003,0.002886,302.05,0.2,1796.5707,1782.04,1825.6321,1795.65,TIMEOUT,-0.060961,-0.146466,-18.41,-44.24,1.4,25.83,290.61,100683.22000000002,100638.98000000001,0.000439,0.000439,dec_20260713T104528204651
t01_00007,1,dev_wfo,2021-10-19 07:00:00+00:00,2021-10-19 09:00:00+00:00,LONG,,CONTINUATION,0.739878,0.854257,0.0025,0.002367,251.6,0.15,1775.524,1759.6427,1807.2865,1778.82,TIMEOUT,0.196502,0.123887,49.44,31.17,1.05,18.27,238.22,100638.98000000001,100670.15000000001,0.0,0.00013,dec_20260713T104528368695
t01_00008,1,dev_wfo,2021-10-19 09:00:00+00:00,2021-10-19 11:00:00+00:00,LONG,,CONTINUATION,0.676545,0.721695,0.0025,0.002477,251.68,0.15,1778.1407,1761.5167,1811.3885,1781.35,TIMEOUT,0.191275,0.11908,48.14,29.97,1.05,18.17,249.36,100670.15000000001,100700.12000000001,0.0,0.0,dec_20260713T104528375544
t01_00009,1,dev_wfo,2021-10-20 12:00:00+00:00,2021-10-20 14:00:00+00:00,LONG,,CONTINUATION,0.623221,0.704836,0.003,0.002954,302.1,0.23,1779.6573,1766.7259,1805.5202,1779.62,TIMEOUT,-0.002842,-0.094558,-0.86,-28.57,1.61,27.71,297.42,100700.12000000001,100671.56000000001,0.000284,0.000284,dec_20260713T104528402372
t01_00010,1,dev_wfo,2021-10-20 19:00:00+00:00,2021-10-20 21:00:00+00:00,LONG,,CONTINUATION,0.650678,0.705551,0.003,0.002906,302.01,0.15,1784.1807,1764.68,1823.1821,1786.3,TIMEOUT,0.105261,0.043111,31.79,13.02,1.05,18.77,292.51,100671.56000000001,100684.58000000002,0.000154,0.000154,dec_20260713T104528414595
t01_00011,1,dev_wfo,2021-10-21 04:00:00+00:00,2021-10-21 06:00:00+00:00,LONG,,CONTINUATION,0.69474,0.775707,0.003,0.002909,302.05,0.16,1784.5473,1766.2411,1821.1598,1786.22,TIMEOUT,0.088603,0.019493,26.76,5.89,1.12,20.87,292.9,100684.58000000002,100690.47000000002,0.0,9.6e-05,dec_20260713T104528423621
t01_00012,1,dev_wfo,2021-10-22 09:00:00+00:00,2021-10-22 11:00:00+00:00,LONG,,CONTINUATION,0.787851,0.906262,0.003,0.002922,302.07,0.23,1787.314,1774.5226,1812.8969,1791.08,TIMEOUT,0.286748,0.194008,86.62,58.6,1.61,28.01,294.2,100690.47000000002,100749.07,0.0,0.0,dec_20260713T104528497193
t01_00013,1,dev_wfo,2021-10-25 14:00:00+00:00,2021-10-25 16:00:00+00:00,LONG,,CONTINUATION,0.766928,0.884074,0.003,0.002936,302.25,0.19,1800.3973,1784.8313,1831.5295,1807.66,TIMEOUT,0.456545,0.375788,137.99,113.58,1.33,24.41,295.76,100749.07,100862.65000000001,0.0,0.0,dec_20260713T104528564681
t01_00014,1,dev_wfo,2021-10-25 15:00:00+00:00,2021-10-25 17:00:00+00:00,LONG,,CONTINUATION,0.771604,0.87066,0.003,0.00285,302.59,0.17,1802.3173,1785.4097,1836.1327,1806.99,TIMEOUT,0.262518,0.192591,79.44,58.28,1.19,21.16,287.43,100862.65000000001,100920.93000000001,0.0,0.0,dec_20260713T104528568165
t01_00015,1,dev_wfo,2021-10-28 05:00:00+00:00,2021-10-28 07:00:00+00:00,LONG,,CONTINUATION,0.62211,0.738997,0.0025,0.00249,252.3,0.16,1798.134,1782.4256,1829.5508,1800.9,TIMEOUT,0.17541,0.095632,44.26,24.13,1.12,20.13,251.33,100920.93000000001,100945.06000000001,0.0,0.0,dec_20260713T104528693687
t01_00016,1,dev_wfo,2021-10-28 06:00:00+00:00,2021-10-28 08:00:00+00:00,LONG,,CONTINUATION,0.662701,0.757661,0.0025,0.002378,252.36,0.16,1800.1907,1785.1896,1830.1928,1802.01,TIMEOUT,0.115348,0.03728,29.11,9.41,1.12,19.7,240.02,100945.06000000001,100954.46,0.0,0.0,dec_20260713T104528696874
t01_00017,1,dev_wfo,2021-11-01 11:00:00+00:00,2021-11-01 13:00:00+00:00,LONG,,CONTINUATION,0.63514,0.758431,0.0025,0.002422,252.39,0.19,1784.6373,1771.7659,1810.3802,1786.54,TIMEOUT,0.143233,0.049534,36.15,12.5,1.33,23.65,244.56,100954.46,100966.97000000002,0.0,0.0,dec_20260713T104528775227
t01_00018,1,dev_wfo,2021-11-01 13:00:00+00:00,2021-11-01 15:00:00+00:00,LONG,,CONTINUATION,0.573631,0.709694,0.0025,0.002432,252.42,0.17,1787.0273,1772.5814,1815.9191,1792.03,TIMEOUT,0.33692,0.254441,85.05,64.23,1.19,20.82,245.58,100966.97000000002,101031.19000000002,0.0,0.0,dec_20260713T104528781637
