month,trades,net_profit,win_rate
2021-05,7,331.59,1.0
2021-06,9,229.18,0.5556
2021-07,21,302.7,0.6667
2021-08,3,-156.71,0.0
2022-06,9,249.91,0.6667
2022-07,9,192.34,0.6667
2022-08,16,346.99,0.8125
2022-09,13,493.12,0.7692
2022-10,13,239.55,0.6154
2022-11,22,180.11,0.6818
2022-12,16,781.45,0.6875
2023-01,18,437.72,0.7222
2023-02,9,385.0,0.3333
2023-06,8,195.42,0.75
2023-07,15,982.27,0.8
2023-08,4,-86.19,0.0
2024-06,2,199.66,1.0
2024-07,20,326.05,0.7
2024-08,16,876.04,0.9375
2024-09,23,1270.48,0.8696
2024-10,19,620.82,0.8421
2024-11,17,398.6,0.7059
2024-12,12,285.29,0.6667
2025-01,20,1300.93,0.8
2025-02,14,439.86,0.7143
2025-03,17,136.58,0.5294
2025-07,19,84.05,0.6842
2025-08,22,1126.88,0.9545
2025-09,28,1151.33,0.75
2025-10,28,885.51,0.8214
2025-11,17,654.15,0.7059
2025-12,21,552.61,0.7619
2026-01,13,721.1,0.8462
2026-02,17,623.35,0.7647
2026-03,16,663.23,0.9375
2026-04,18,624.67,0.8889
2026-05,18,471.39,0.7778
2026-06,10,150.38,0.7
