month,trades,net_profit,win_rate
2021-03,3,232.85,0.6667
2021-04,12,519.98,0.8333
2021-05,16,890.01,0.9375
2021-06,10,193.81,0.6
2021-07,14,511.24,0.8571
2021-08,10,1107.51,0.8
2021-09,6,665.53,1.0
2021-10,8,440.37,0.875
2021-11,6,479.07,1.0
2021-12,5,-41.14,0.4
2022-01,6,709.36,0.8333
2022-02,11,1065.2,0.9091
2022-03,7,427.65,0.7143
2022-04,9,347.44,0.7778
2022-05,10,402.3,0.8
2022-06,10,286.33,0.6
2022-07,9,161.75,0.6667
2022-08,15,343.88,0.7333
2022-09,11,263.69,0.6364
2022-10,10,184.47,0.6
2022-11,9,543.37,1.0
2022-12,11,895.56,0.8182
2023-01,12,293.46,0.75
2023-02,3,337.98,0.6667
2023-03,15,1089.8,0.7333
2023-04,9,655.97,0.8889
2023-05,10,919.47,0.9
2023-06,9,263.77,0.5556
2024-04,2,32.32,0.5
2024-05,14,961.28,0.9286
2024-06,13,962.29,0.9231
2024-07,10,547.36,1.0
2024-08,12,681.48,0.9167
2024-09,14,1091.51,0.8571
2024-10,8,315.77,0.75
2024-11,11,557.13,0.8182
2024-12,4,282.31,1.0
2025-01,10,636.81,0.8
2025-02,5,70.17,0.8
2025-03,10,274.22,0.7
2025-04,12,285.97,0.75
2025-05,15,905.84,0.9333
2025-06,6,541.73,1.0
2025-07,10,322.73,0.8
2025-08,13,931.62,1.0
2025-09,19,1264.61,0.9474
2025-10,26,849.11,0.8462
2025-11,8,436.45,0.875
2025-12,8,245.08,1.0
2026-01,9,218.86,0.4444
2026-02,5,145.88,0.8
2026-03,11,482.74,0.9091
2026-04,12,447.54,1.0
2026-05,13,700.64,0.9231
2026-06,6,159.88,0.8333
